record_id,title,included_in_validated_candidate_corpus,exclusion_reason,description_segments_total,narrative_segments,materials_segments,ambiguous_segments,has_narrative_document,has_materials_document,baseline_description_words
/2020601/https___1914_1918_europeana_eu_contributions_10334,Lettre du Commandant Ménétrier | Letter about Commandant Ménétrier,True,,2,1,1,1,True,True,142
/2020601/https___1914_1918_europeana_eu_contributions_10341,FRAD033-102 Histoire de Louis Gauthier | Documents from Louis Gauthier,True,,2,1,1,0,True,True,120
/2020601/https___1914_1918_europeana_eu_contributions_10348,FRAM - Claude Alfred Camille VENOT | Claude VENOT,True,,2,1,1,0,True,True,165
/2020601/https___1914_1918_europeana_eu_contributions_10352,FRAM - Une relève à la Laufée | Souvenirs from La Laufée,True,,1,1,0,1,True,False,41
/2020601/https___1914_1918_europeana_eu_contributions_10354,FRBNBU-108 Un suédois au service de la France | Knut William Mattson a physiotherapist in France service,True,,2,1,1,1,True,True,133
/2020601/https___1914_1918_europeana_eu_contributions_10358,FRBNBU-135 Alphonse Colignon parti à la guerre à 41 ans | Alphonse Colignon's story,True,,2,1,1,0,True,True,236
/2020601/https___1914_1918_europeana_eu_contributions_10360,FRAN-PA-112 Les frères Gravier | Documents from the brothers Gravier,True,,2,1,1,0,True,True,107
/2020601/https___1914_1918_europeana_eu_contributions_10366,Mémoires d'un prisonnier : Abel Lugez : 1914-1919 | Memories of a prisoner of war,True,,2,1,1,0,True,True,406
/2020601/https___1914_1918_europeana_eu_contributions_10369,FRBNBU-147 Louis Guignard prisonnier | Louis Guignard prisoner of war,True,,2,1,1,0,True,True,47
/2020601/https___1914_1918_europeana_eu_contributions_1038,Fotografien von Wilhelm Ostertag | photos - Wilhelm Ostertag,True,,1,0,1,0,False,True,66
/2020601/https___1914_1918_europeana_eu_contributions_10384,FRAD087_064-Histoire de François Jandaud | Story of François Jandaud,True,,2,1,1,0,True,True,84
/2020601/https___1914_1918_europeana_eu_contributions_10390,"FRAD087_062-""Notes de voyage"" de Martial Daigueperse | Diary and documents from Martial Daigueperse",True,,2,0,2,1,False,True,208
/2020601/https___1914_1918_europeana_eu_contributions_10398,FRAD087_038-Histoire de Georges Philippon | Documents about Georges Philippon,True,,2,1,1,0,True,True,214
/2020601/https___1914_1918_europeana_eu_contributions_10425,"FRAD077-139, Ernest Hylaire, correspondance avec sa plus jeune fille pendant la guerre. | Ernest Hylaire, letters to his younger daughter during the war.",True,,2,1,1,0,True,True,206
/2020601/https___1914_1918_europeana_eu_contributions_10426,"FRBNBU-148 Photos souvenirs de guerre | Jean Pastour, cooker",True,,2,1,1,0,True,True,92
/2020601/https___1914_1918_europeana_eu_contributions_10430,"Brief van Omer De Backer aan zijn vader, geschreven aan het front in Pervijze (12/11/1914) | Letter from Omer De Backer to his father, written from the front in Pervijze (12/11/1914)",True,,2,2,0,1,True,False,251
