record_id,title,included_in_final_corpus,reason,story_words,materials_words
/2020601/https___1914_1918_europeana_eu_contributions_10271,FRBMLY-66 Histoire de mes grands parents Henri et Marie-Louise Mermin | Story of my grandparents,True,Meets minimum narrative length,104,22
/2020601/https___1914_1918_europeana_eu_contributions_10275,Wilhelm Sandvoß´ Einsatz an der Ost- und Westfront | Wilhelm Sandvoß mission at Eastern and Western Front,True,Meets minimum narrative length,115,22
/2020601/https___1914_1918_europeana_eu_contributions_10276,FRBNBU-022 Gaston-René Gorret mort pour la France dès septembre 1914 | Documents about Gaston Gorret died in 1914,True,Meets minimum narrative length,55,4
/2020601/https___1914_1918_europeana_eu_contributions_1028,"Album zur Erinnerung an Hermann Stegmayer mit Fotos aus Galizien und Frankreich | Album with photos of Hermann Stegmayer, his deployments to France (Vosges, Laon) and Galicia (today: Poland, Ukraine) and his grave in Crécy sur Serre, assembled by his niece.",True,Meets minimum narrative length,206,0
/2020601/https___1914_1918_europeana_eu_contributions_10285,FRBMLY-71 Histoire de Georges Robart | Story of Georges Robart,True,Meets minimum narrative length,43,33
/2020601/https___1914_1918_europeana_eu_contributions_10289,FRAM - Louis Cavil (1879-1922) | Documents from Louis Cavil,True,Meets minimum narrative length,67,40
/2020601/https___1914_1918_europeana_eu_contributions_10293,"FRBNBU-136 Emile Woirgard, lorrain, combat pour l'Allemagne | Emile Woirgard was german at the beginning of the war and french after the war",True,Meets minimum narrative length,156,41
/2020601/https___1914_1918_europeana_eu_contributions_10295,"FRBNBU-106 Histoire de Joseph Auguste Chenavier, grand-père de Guy Chevenet | Joseph Auguste Chenavier's story",True,Meets minimum narrative length,85,27
/2020601/https___1914_1918_europeana_eu_contributions_10297,FRBMBO-070 Histoire du soldat Albéric Bru | Albéric Bru's story,True,Meets minimum narrative length,115,27
/2020601/https___1914_1918_europeana_eu_contributions_10304,Tagebuch des jungen Bernhard Bültemann aus Halle | The diary of young Bernhard Bültemann,True,Meets minimum narrative length,371,60
/2020601/https___1914_1918_europeana_eu_contributions_10307,FRAD066_090 Barthélémy Garreta | Documents of Barthélémy Garreta,True,Meets minimum narrative length,208,36
/2020601/https___1914_1918_europeana_eu_contributions_10314,"FRAD043_060 Alexis Rispal, soldat de la Grande guerre | Documents about Alexis Rispal",True,Meets minimum narrative length,194,41
/2020601/https___1914_1918_europeana_eu_contributions_10325,"FRAD058_021 M;Louis TOLLET, M. Etienne NOLOT | Documents from Mr Guy François Nolot",True,Meets minimum narrative length,43,13
/2020601/https___1914_1918_europeana_eu_contributions_10329,FRAD066_091 Georges Dubos et Marcel Vincent | Documents of Georges Dubos and Marcel Vincent,True,Meets minimum narrative length,141,33
/2020601/https___1914_1918_europeana_eu_contributions_10333,FRBNBU-119 Eugène Lucien Lebert cavalier au 15ème régiment de Chasseurs | Eugène Lucien Lebert was in the cavalery,True,Meets minimum narrative length,59,40
/2020601/https___1914_1918_europeana_eu_contributions_10334,Lettre du Commandant Ménétrier | Letter about Commandant Ménétrier,True,Meets minimum narrative length,84,58
/2020601/https___1914_1918_europeana_eu_contributions_10341,FRAD033-102 Histoire de Louis Gauthier | Documents from Louis Gauthier,True,Meets minimum narrative length,79,41
/2020601/https___1914_1918_europeana_eu_contributions_10348,FRAM - Claude Alfred Camille VENOT | Claude VENOT,True,Meets minimum narrative length,114,51
/2020601/https___1914_1918_europeana_eu_contributions_10352,FRAM - Une relève à la Laufée | Souvenirs from La Laufée,True,Meets minimum narrative length,41,0
/2020601/https___1914_1918_europeana_eu_contributions_10354,FRBNBU-108 Un suédois au service de la France | Knut William Mattson a physiotherapist in France service,True,Meets minimum narrative length,109,24
/2020601/https___1914_1918_europeana_eu_contributions_10358,FRBNBU-135 Alphonse Colignon parti à la guerre à 41 ans | Alphonse Colignon's story,True,Meets minimum narrative length,167,69
/2020601/https___1914_1918_europeana_eu_contributions_10360,FRAN-PA-112 Les frères Gravier | Documents from the brothers Gravier,True,Meets minimum narrative length,94,13
